시도명,시군구명,업종,업소명,주요품목, 가격 ,도로명주소,지번주소,위도,경도,데이터기준일자
강원특별자치도,춘천시,한식_일반,행복한두부,두부찌개,8000원,강원특별자치도 춘천시 둥지길 4,강원특별자치도 춘천시 효자동 651-6,37.87474796,127.7353755,2025-07-11
강원특별자치도,춘천시,한식_육류,곱돌생삼겹살,생삼겹살(200g),11000원,강원특별자치도 춘천시 백령로138번길 55,강원특별자치도 춘천시 효자동 631-3,37.87311739,127.7454715,2025-07-11
강원특별자치도,춘천시,한식_일반,뚝배기마을,된장찌개,8000원,"강원특별자치도 춘천시 중앙로 37-3 지하상가 다열 49,50호","강원특별자치도 춘천시 중앙로1가 91 지하상가 다열 49,50호",37.88059538,127.7280657,2025-07-11
강원특별자치도,춘천시,한식_일반,국수나라,김치찌개,6000원,강원특별자치도 춘천시 삭주로 130,강원특별자치도 춘천시 후평동 711-28,37.88497532,127.7449321,2025-07-11
강원특별자치도,춘천시,한식_일반,봉실스넥,왕돈까스,6000원,강원특별자치도 춘천시 서부대성로239번길 8,강원특별자치도 춘천시 효자동 631-13,37.87325578,127.7451003,2025-07-11
강원특별자치도,춘천시,한식_일반,촌닭곰탕,닭곰탕,7000원,강원특별자치도 춘천시 동내면 영서로 1776,강원특별자치도 춘천시 동내면 학곡리 602,37.83529401,127.7606539,2025-07-11
강원특별자치도,춘천시,한식_면류,낭만국시,칼국시,7000원,강원특별자치도 춘천시 명동길29번길 3,강원특별자치도 춘천시 죽림동 11-121,37.87811533,127.72596,2025-07-11
강원특별자치도,춘천시,한식_육류,해미담,제주흑돼지오겹살(180g),18000원,강원특별자치도 춘천시 효자로24번길 12,강원특별자치도 춘천시 퇴계동 1141-5,37.86596006,127.7281639,2025-07-11
강원특별자치도,춘천시,한식_일반,광치해장국,선지해장국,6000원,강원특별자치도 춘천시 소양로 108,강원특별자치도 춘천시 소양로3가 175-1,37.89318803,127.7260228,2025-07-11
강원특별자치도,춘천시,한식_일반,왕가,한식뷔페,6000원,강원특별자치도 춘천시 석사길 15,강원특별자치도 춘천시 석사동 667-2,37.85793176,127.7449712,2025-07-11
강원특별자치도,춘천시,한식_육류,춘천뒷고기,뒷고기(180g),13000원,강원특별자치도 춘천시 우묵길 52,강원특별자치도 춘천시 퇴계동 1189,37.86566524,127.7223779,2025-07-11
강원특별자치도,춘천시,한식_육류,천하일미닭갈비,닭갈비(300g),13000원,강원특별자치도 춘천시 영서로2279번길 25,강원특별자치도 춘천시 온의동 516,37.8628131,127.7203275,2025-07-11
강원특별자치도,춘천시,한식_육류,화롯불,돼지갈비(300g),13000원,강원특별자치도 춘천시 충열로 166,강원특별자치도 춘천시 우두동 460-14,37.9074361,127.7398531,2025-07-11
강원특별자치도,춘천시,한식_육류,약사촌 닭갈비,뼈없는닭갈비(300g),15000원,강원특별자치도 춘천시 영서로 2279번길 24,강원특별자치도 춘천시 온의동 514-3,37.86307445,127.719975,2025-07-11
강원특별자치도,춘천시,일식,춘천민물횟집,송어회(1kg),26000원,강원특별자치도 춘천시 효자로 42,강원특별자치도 춘천시 효자동 697-1,37.86776811,127.7288954,2025-07-11
강원특별자치도,춘천시,중식,만리향,짜장면,5000원,강원특별자치도 춘천시 명동길29번길 4-5,강원특별자치도 춘천시 죽림동 11-78,37.87798835,127.7258932,2025-07-11
강원특별자치도,춘천시,한식_일반,우리순대국,순대국,8000원,강원특별자치도 춘천시 후석로45번길 15,강원특별자치도 춘천시 석사동 654-4,37.85930672,127.7405491,2025-07-11
강원특별자치도,춘천시,한식_일반,황토집,돌솥정식,9000원,강원특별자치도 춘천시 벌말길 54-1,강원특별자치도 춘천시 석사동 642-13,37.85940975,127.7423443,2025-07-11
강원특별자치도,춘천시,한식_일반,백령밥집,가정식백반,7000원,강원특별자치도 춘천시 백령로 182,강원특별자치도 춘천시 후평동 67-51,37.87633008,127.746485,2025-07-11
강원특별자치도,춘천시,한식_육류,감돈,삼겹살(180g),15000원,강원특별자치도 춘천시 동내면 거두택지길4번길 7-13,강원특별자치도 춘천시 동내면 거두리 948-10,37.85255809,127.7528979,2025-07-11
강원특별자치도,춘천시,기타요식업,달콤한게으름,아메리카노,4000원,강원특별자치도 춘천시 신북읍 신샘밭로 502,강원특별자치도 춘천시 신북읍 율문리 35-13,37.92955123,127.7651309,2025-07-11
강원특별자치도,춘천시,한식_일반,유봉해물찜,아구찜(소),25000원,강원특별자치도 춘천시 퇴계로 63-1,강원특별자치도 춘천시 퇴계동 1166-9,37.86383434,127.7282598,2025-07-11
강원특별자치도,춘천시,한식_일반,양지뜨락,손두부전골,8000원,강원특별자치도 춘천시 동면 만천양지길 114,강원특별자치도 춘천시 동면 만천리 734-1,37.88764987,127.76652,2025-07-11
강원특별자치도,춘천시,한식_육류,강남동골목원조닭갈비,닭갈비(300g),14000원,강원특별자치도 춘천시 충혼길52번길 20-4,강원특별자치도 춘천시 온의동 538-11,37.86081242,127.7186441,2025-07-11
강원특별자치도,춘천시,한식_일반,동부지짐이다정,삼겹살(200g),12000원,강원특별자치도 춘천시 동부시장길 8,강원특별자치도 춘천시 운교동 183,37.87723546,127.734114,2025-07-11
강원특별자치도,춘천시,한식_일반,밥짓는마을,한식뷔페,7000원,강원특별자치도 춘천시 중앙로 63-1,강원특별자치도 춘천시 중앙로2가 25,37.87938329,127.7268087,2025-07-11
강원특별자치도,춘천시,한식_일반,롯데자율식당,한식뷔페,7000원,강원특별자치도 춘천시 공지로 387,강원특별자치도 춘천시 약사동 160-8,37.87163874,127.723865,2025-07-11
강원특별자치도,춘천시,한식_일반,아무거나,김치찌개(2인분),15000원,강원특별자치도 춘천시 벌말길 64,강원특별자치도 춘천시 석사동 641-9,37.8600104,127.7429729,2025-07-11
강원특별자치도,춘천시,한식_육류,불발탄,양구이(200g),22000원,강원특별자치도 춘천시 안마산로 213,강원특별자치도 춘천시 퇴계동 79,37.84995884,127.7377622,2025-07-11
강원특별자치도,춘천시,한식_일반,춘천집,물냉면,9000원,강원특별자치도 춘천시 공지로 61-4,강원특별자치도 춘천시 석사동 635-7,37.853045,127.7509433,2025-07-11
강원특별자치도,춘천시,한식_일반,바탕골식당,장칼국수,7000원,강원특별자치도 춘천시 서부대성로44번길 19,강원특별자치도 춘천시 요선동 14-9,37.88168925,127.7273155,2025-07-11
강원특별자치도,춘천시,한식_일반,호반식당,김치찌개,7000원,강원특별자치도 춘천시 당간지주길 81,강원특별자치도 춘천시 소양로1가 100-60,37.89251483,127.7244634,2025-07-11
강원특별자치도,춘천시,일식,누이네,회덮밥,9000원,강원특별자치도 춘천시 영서로2279번길 25,강원특별자치도 춘천시 온의동 516,37.8628131,127.7203275,2025-07-11
강원특별자치도,춘천시,중식,연화각,짜장면,7000원,강원특별자치도 춘천시 충혼길52번길 20-23,강원특별자치도 춘천시 온의동 534-1,37.86178287,127.718988,2025-07-11
강원특별자치도,춘천시,한식_일반,삼남매,가정식백반,8000원,강원특별자치도 춘천시 춘천로170번길 8,강원특별자치도 춘천시 운교동 178-11,37.87569836,127.7333226,2025-07-11
강원특별자치도,춘천시,한식_육류,팔도숯불구이,생삼겹(200g),14000원,강원특별자치도 춘천시 춘주로92번길 9-3,강원특별자치도 춘천시 온의동 539-5,37.86115255,127.7197309,2025-07-11
강원특별자치도,춘천시,한식_일반,안가네밥집,두부전골,7000원,강원특별자치도 춘천시 남춘로25번길 4-1,강원특별자치도 춘천시 퇴계동 343-23,37.86368307,127.7305875,2025-07-11
강원특별자치도,춘천시,한식_면류,국수닭,닭국수,6500원,강원특별자치도 춘천시 남춘로36번길 48,강원특별자치도 춘천시 퇴계동 947-2,37.86156619,127.7355295,2025-07-11
강원특별자치도,춘천시,한식_일반,함지박,그냥주물럭,7000원,강원특별자치도 춘천시 만천로199번길 30,강원특별자치도 춘천시 후평동 732-5,37.88576381,127.7518758,2025-07-11
강원특별자치도,춘천시,한식_일반,하마집,가정식백반,6000원,강원특별자치도 춘천시 후석로369번길 2,강원특별자치도 춘천시 후평동 709-20,37.88355193,127.7473932,2025-07-11
강원특별자치도,춘천시,한식_일반,언덕집,고등어백반,7000원,강원특별자치도 춘천시 금강로83번길 6,강원특별자치도 춘천시 운교동 61-2,37.87830188,127.7303939,2025-07-11
강원특별자치도,춘천시,한식_면류,바다향기칼국수,해물칼국수,8000원,강원특별자치도 춘천시 동내면 고은길 168,강원특별자치도 춘천시 동내면 사암리 148-3,37.83829542,127.7835493,2025-07-11
강원특별자치도,춘천시,한식_일반,낭만국수집,돌솥비빔밥,7000원,강원특별자치도 춘천시 서부대성로57번길 2,강원특별자치도 춘천시 옥천동 37-11,37.88295334,127.7296019,2025-07-11
강원특별자치도,춘천시,한식_일반,옛촌,백반,8000원,강원특별자치도 춘천시 향교앞길 4,강원특별자치도 춘천시 교동 86-7,37.88099444,127.7342684,2025-07-11
강원특별자치도,춘천시,기타요식업,춘천커피,아메리카노,2000원,강원특별자치도 춘천시 서부대성로48번길 11-1,강원특별자치도 춘천시 요선동 9-22,37.88215472,127.7279923,2025-07-11
강원특별자치도,춘천시,한식_면류,와송칼국수,칼국수,7000원,강원특별자치도 춘천시 명동길 46-1,강원특별자치도 춘천시 중앙로3가 60-4,37.87723778,127.7243874,2025-07-11
강원특별자치도,춘천시,한식_일반,골목손두부,두부전골,9000원,강원특별자치도 춘천시 공지로439번길 16-4,강원특별자치도 춘천시 근화동 291-19,37.87265058,127.7195732,2025-07-11
강원특별자치도,춘천시,기타요식업,메이카드,아메리카노,3500원,강원특별자치도 춘천시 복골길6번길 21,강원특별자치도 춘천시 후평동 811-9,37.87436042,127.7555444,2025-07-11
강원특별자치도,춘천시,한식_일반,금산닭갈비,닭갈비,12000원,강원특별자치도 춘천시 서면 박사로 928,강원특별자치도 춘천시 서면 금산리 999-3,37.89826147,127.6941773,2025-07-11
강원특별자치도,춘천시,한식_일반,봉수닭갈비막국수,닭갈비,13000원,강원특별자치도 춘천시 서부대성로227번길 3-1,강원특별자치도 춘천시 효자동 626-14,37.87353394,127.7435401,2025-07-11
강원특별자치도,춘천시,한식_일반,장군닭갈비,닭갈비,13000원,강원특별자치도 춘천시 춘주로147번길 12-6,강원특별자치도 춘천시 퇴계동 912-1,37.85933278,127.7256272,2025-07-11
